LGA_name,LGA_rate,offence_count,offence_subdiv,year
Hobsons Bay,3.267867063,3,F30 Other government regulatory offences,2022
Hobsons Bay,1.089289021,1,F90 Miscellaneous offences,2022
Hobsons Bay,2.167622227,2,A10 Homicide and related offences,2021
Hobsons Bay,84.537266845,78,A20 Assault and related offences,2021
Hobsons Bay,6.50286668,6,A40 Abduction and related offences,2021
Hobsons Bay,3.25143334,3,A40 Abduction and related offences,2021
Hobsons Bay,2.167622227,2,A50 Robbery,2021
Hobsons Bay,2.167622227,2,A60 Blackmail and extortion,2021
Hobsons Bay,21.676222268,20,"A70 Stalking, harassment and threatening behaviour",2021
Hobsons Bay,49.855311216,46,"A70 Stalking, harassment and threatening behaviour",2021
Hobsons Bay,32.514333402,30,"A70 Stalking, harassment and threatening behaviour",2021
Hobsons Bay,23.843844495,22,A80 Dangerous and negligent acts endangering people,2021
Hobsons Bay,6.50286668,6,B20 Property damage,2021
Hobsons Bay,198.337433752,183,B30 Burglary/Break and enter,2021
Hobsons Bay,210.259355999,194,C30 Drug use and possession,2021
Hobsons Bay,74.782966825,69,D10 Weapons and explosives offences,2021
Hobsons Bay,98.626811319,91,D10 Weapons and explosives offences,2021
Hobsons Bay,1.083811113,1,D30 Public nuisance offences,2021
Hobsons Bay,524.564578885,484,E20 Breaches of orders,2021
Hobsons Bay,44.436255649,41,E20 Breaches of orders,2021
Hobsons Bay,1.083811113,1,F10 Regulatory driving offences,2021
Hobsons Bay,4.335244454,4,F20 Transport regulation offences,2021
Hobsons Bay,82.989295431,79,A20 Assault and related offences,2020
Hobsons Bay,28.363430084,27,A20 Assault and related offences,2020
Hobsons Bay,135.514165958,129,A20 Assault and related offences,2020
Hobsons Bay,262.624352631,250,A30 Sexual offences,2020
Hobsons Bay,28.363430084,27,A50 Robbery,2020
Hobsons Bay,10.504974105,10,"A70 Stalking, harassment and threatening behaviour",2020
Hobsons Bay,9.454476695,9,A80 Dangerous and negligent acts endangering people,2020
Hobsons Bay,32.565419726,31,A80 Dangerous and negligent acts endangering people,2020
Hobsons Bay,3.151492232,3,B30 Burglary/Break and enter,2020
Hobsons Bay,94.544766947,90,B40 Theft,2020
Hobsons Bay,12.605968926,12,B50 Deception,2020
Hobsons Bay,4.201989642,4,C20 Cultivate or manufacture drugs,2020
Hobsons Bay,16.807958568,16,D20 Disorderly and offensive conduct,2020
Hobsons Bay,35.716911958,34,D20 Disorderly and offensive conduct,2020
Hobsons Bay,1.050497411,1,D30 Public nuisance offences,2020
Hobsons Bay,38.868404189,37,D30 Public nuisance offences,2020
Hobsons Bay,66.181336863,63,E10 Justice procedures,2020
Hobsons Bay,9.454476695,9,E10 Justice procedures,2020
Hobsons Bay,462.218860631,440,E20 Breaches of orders,2020
Hobsons Bay,43.070393831,41,E20 Breaches of orders,2020
Hobsons Bay,5.252487053,5,F20 Transport regulation offences,2020
Hobsons Bay,1.050497411,1,F90 Miscellaneous offences,2020
Hobsons Bay,91.288147681,85,A20 Assault and related offences,2023
Hobsons Bay,2.147956416,2,A40 Abduction and related offences,2023
Hobsons Bay,1.073978208,1,A60 Blackmail and extortion,2023
Hobsons Bay,19.331607744,18,"A70 Stalking, harassment and threatening behaviour",2023
Hobsons Bay,18.257629536,17,A80 Dangerous and negligent acts endangering people,2023
Hobsons Bay,37.58923728,35,A80 Dangerous and negligent acts endangering people,2023
Hobsons Bay,8.591825664,8,B20 Property damage,2023
Hobsons Bay,1.073978208,1,B30 Burglary/Break and enter,2023
Hobsons Bay,284.604225123,265,B50 Deception,2023
Hobsons Bay,7.517847456,7,B50 Deception,2023
Hobsons Bay,2.147956416,2,C20 Cultivate or manufacture drugs,2023
Hobsons Bay,1.073978208,1,D30 Public nuisance offences,2023
Hobsons Bay,112.767711841,105,E10 Justice procedures,2023
Hobsons Bay,4.295912832,4,E10 Justice procedures,2023
Hobsons Bay,11.813760288,11,E10 Justice procedures,2023
Hobsons Bay,124.58147213,116,E20 Breaches of orders,2023
Hobsons Bay,23.627520576,22,F30 Other government regulatory offences,2023
Hobsons Bay,1.073978208,1,F90 Miscellaneous offences,2023
Hobsons Bay,2.147956416,2,F90 Miscellaneous offences,2023
Hobsons Bay,84.964543642,78,A20 Assault and related offences,2022
Hobsons Bay,91.500277769,84,A20 Assault and related offences,2022
Hobsons Bay,176.464821411,162,A20 Assault and related offences,2022
Hobsons Bay,3.267867063,3,A60 Blackmail and extortion,2022
Hobsons Bay,38.125115737,35,"A70 Stalking, harassment and threatening behaviour",2022
Hobsons Bay,34.857248674,32,B10 Arson,2022
Hobsons Bay,605.644695707,556,B20 Property damage,2022
